Unnamed: 0,destination,origin,flow
95,53033002200,53033000402,1201
96,53033002200,53033000500,1685
97,53033002400,53033000100,418
98,53033002400,53033000200,450
99,53033002400,53033000401,37
100,53033002400,53033000402,61
101,53033002400,53033000500,171
102,53033002500,53033000100,2997
103,53033002500,53033000200,7114
104,53033002500,53033000401,754
105,53033002500,53033000402,925
106,53033002500,53033000500,342
107,53033002600,53033000100,1073
108,53033002600,53033000200,1458
109,53033002600,53033000401,274
110,53033002600,53033000402,123
111,53033002600,53033000500,318
112,53033002700,53033000100,146
113,53033002700,53033000401,216
114,53033002800,53033000100,253
115,53033002800,53033000200,48
116,53033002800,53033000401,323
117,53033002800,53033000500,596
118,53033002900,53033000200,76
119,53033003000,53033000100,411
120,53033003000,53033000200,195
121,53033003000,53033000401,452
122,53033003000,53033000402,1635
123,53033003100,53033000100,2721
124,53033003100,53033000200,1658
125,53033003100,53033000401,2980
126,53033003100,53033000402,2604
127,53033003100,53033000500,2903
128,53033003200,53033000200,345
129,53033003200,53033000401,48
130,53033003200,53033000402,34
131,53033003200,53033000500,471
132,53033003300,53033000100,349
133,53033003300,53033000200,494
134,53033003300,53033000401,1129
135,53033003300,53033000402,1311
136,53033003300,53033000500,1015
137,53033003400,53033000100,64
138,53033003400,53033000200,57
139,53033003400,53033000401,174
140,53033003400,53033000402,75
141,53033003400,53033000500,43
142,53033003500,53033000100,51
143,53033003500,53033000200,369
144,53033003500,53033000401,432
145,53033003500,53033000402,146
146,53033003600,53033000100,326
147,53033003600,53033000200,132
148,53033003600,53033000401,40
149,53033003600,53033000500,54
150,53033003800,53033000100,353
151,53033003800,53033000200,85
152,53033003800,53033000401,52
153,53033003800,53033000402,72
154,53033003800,53033000500,42
155,53033003900,53033000100,508
156,53033003900,53033000200,404
157,53033003900,53033000401,230
158,53033003900,53033000402,32
159,53033004000,53033000100,10571
160,53033004000,53033000200,9735
161,53033004000,53033000401,2969
162,53033004000,53033000402,4178
163,53033004000,53033000500,3863
164,53033004200,53033000500,243
165,53033004301,53033000100,731
166,53033004301,53033000200,1494
167,53033004301,53033000401,542
168,53033004301,53033000402,475
169,53033004301,53033000500,213
170,53033004302,53033000100,1311
171,53033004302,53033000200,1813
172,53033004302,53033000401,473
173,53033004302,53033000402,190
174,53033004400,53033000100,1220
175,53033004400,53033000200,418
176,53033004400,53033000401,129
177,53033004400,53033000402,142
178,53033004400,53033000500,355
179,53033004500,53033000100,369
180,53033004500,53033000200,697
181,53033004500,53033000401,247
182,53033004500,53033000402,259
183,53033004600,53033000100,8447
184,53033004600,53033000200,10843
185,53033004600,53033000401,12976
186,53033004600,53033000402,7727
187,53033004600,53033000500,7934
188,53033004700,53033000100,87
189,53033004700,53033000200,220
190,53033004700,53033000401,463
191,53033004700,53033000402,597
192,53033004700,53033000500,839
193,53033004800,53033000100,424
194,53033004800,53033000200,423
195,53033004800,53033000401,437
196,53033004800,53033000402,405
197,53033004800,53033000500,249
198,53033004900,53033000100,441
199,53033004900,53033000200,607
200,53033004900,53033000401,462
201,53033004900,53033000402,500
202,53033004900,53033000500,376
203,53033005000,53033000100,31
204,53033005000,53033000200,327
205,53033005000,53033000401,300
206,53033005000,53033000402,200
207,53033005000,53033000500,647
208,53033005100,53033000100,110
209,53033005100,53033000200,42
210,53033005100,53033000401,32
211,53033005200,53033000100,1563
212,53033005200,53033000200,1178
213,53033005200,53033000401,763
214,53033005200,53033000402,378
215,53033005200,53033000500,48
216,53033005301,53033000100,528
217,53033005301,53033000200,435
218,53033005301,53033000401,134
219,53033005301,53033000402,119
220,53033005301,53033000500,215
221,53033005302,53033000100,1323
222,53033005302,53033000200,1676
223,53033005302,53033000401,430
224,53033005302,53033000402,208
225,53033005400,53033000100,216
226,53033005400,53033000200,230
227,53033005400,53033000401,238
228,53033005400,53033000402,90
229,53033005400,53033000500,157
230,53033005600,53033000100,986
231,53033005600,53033000200,307
232,53033005600,53033000401,227
233,53033005600,53033000402,521
234,53033005600,53033000500,784
235,53033005700,53033000100,689
236,53033005700,53033000200,1361
237,53033005700,53033000401,1470
238,53033005700,53033000402,1099
239,53033005700,53033000500,773
240,53033005801,53033000100,32
241,53033005801,53033000401,76
242,53033005801,53033000500,150
243,53033005802,53033000100,559
244,53033005802,53033000200,625
245,53033005802,53033000401,580
246,53033005802,53033000402,451
247,53033005802,53033000500,339
248,53033005900,53033000500,81
249,53033006000,53033000100,396
250,53033006000,53033000200,182
251,53033006000,53033000401,877
252,53033006000,53033000402,530
253,53033006000,53033000500,201
254,53033006100,53033000100,660
255,53033006100,53033000200,770
256,53033006100,53033000401,336
257,53033006100,53033000402,371
258,53033006100,53033000500,278
259,53033006200,53033000100,2264
260,53033006200,53033000200,2792
261,53033006200,53033000401,1360
262,53033006200,53033000402,862
263,53033006200,53033000500,1140
264,53033006300,53033000100,250
265,53033006300,53033000200,88
266,53033006300,53033000401,74
267,53033006300,53033000402,238
268,53033006300,53033000500,398
269,53033006400,53033000500,71
270,53033006500,53033000100,89
271,53033006500,53033000200,210
272,53033006500,53033000401,434
273,53033006500,53033000402,60
274,53033006500,53033000500,56
275,53033006600,53033000100,2011
276,53033006600,53033000200,2747
277,53033006600,53033000401,1207
278,53033006600,53033000402,674
279,53033006600,53033000500,541
280,53033006700,53033000100,460
281,53033006700,53033000200,539
282,53033006700,53033000401,956
283,53033006700,53033000402,369
284,53033006700,53033000500,191
285,53033006800,53033000100,169
286,53033006800,53033000401,359
287,53033006800,53033000500,95
288,53033006900,53033000100,1802
289,53033006900,53033000200,778
290,53033006900,53033000401,974
291,53033006900,53033000402,337
292,53033006900,53033000500,568
293,53033007000,53033000100,567
294,53033007000,53033000200,534
295,53033007000,53033000401,866
296,53033007000,53033000402,571
297,53033007000,53033000500,736
298,53033007100,53033000100,151
299,53033007100,53033000200,33
300,53033007100,53033000401,413
301,53033007100,53033000402,43
302,53033007100,53033000500,212
303,53033007200,53033000100,463
304,53033007200,53033000200,805
305,53033007200,53033000401,1581
306,53033007200,53033000402,907
307,53033007200,53033000500,208
308,53033007401,53033000100,258
309,53033007401,53033000200,524
310,53033007401,53033000401,93
311,53033007401,53033000402,612
312,53033007401,53033000500,356
313,53033007500,53033000100,507
314,53033007500,53033000200,293
315,53033007500,53033000401,442
316,53033007500,53033000500,156
317,53033007600,53033000100,174
318,53033007600,53033000200,330
319,53033007600,53033000401,42
320,53033007600,53033000402,567
321,53033007600,53033000500,42
322,53033007700,53033000100,212
323,53033007700,53033000200,247
324,53033007700,53033000401,192
325,53033007700,53033000402,61
326,53033007800,53033000100,251
327,53033007800,53033000200,115
328,53033007800,53033000401,53
329,53033007800,53033000402,399
330,53033007800,53033000500,287
331,53033007900,53033000100,1148
332,53033007900,53033000200,640
333,53033007900,53033000401,996
334,53033007900,53033000402,300
335,53033007900,53033000500,187
336,53033008001,53033000100,401
337,53033008001,53033000200,414
338,53033008001,53033000401,366
339,53033008001,53033000402,615
340,53033008001,53033000500,470
341,53033008100,53033000100,1248
342,53033008100,53033000200,1135
343,53033008100,53033000401,1581
344,53033008100,53033000402,696
345,53033008100,53033000500,393
346,53033008200,53033000100,1573
347,53033008200,53033000200,1381
348,53033008200,53033000401,1140
349,53033008200,53033000402,954
350,53033008200,53033000500,213
351,53033008300,53033000100,316
352,53033008300,53033000200,346
353,53033008300,53033000401,196
354,53033008300,53033000402,61
355,53033008300,53033000500,46
356,53033008400,53033000100,151
357,53033008400,53033000200,406
358,53033008400,53033000401,55
359,53033008400,53033000402,100
360,53033008400,53033000500,99
361,53033008600,53033000100,707
362,53033008600,53033000200,474
363,53033008600,53033000401,367
364,53033008600,53033000402,318
365,53033008600,53033000500,338
366,53033008700,53033000100,95
367,53033008700,53033000401,206
368,53033008700,53033000402,92
369,53033008800,53033000100,453
370,53033008800,53033000200,67
371,53033008800,53033000401,374
372,53033008800,53033000402,174
373,53033008900,53033000100,86
374,53033008900,53033000200,37
375,53033008900,53033000402,55
376,53033009000,53033000100,904
377,53033009000,53033000200,382
378,53033009000,53033000401,465
379,53033009000,53033000402,59
380,53033009000,53033000500,312
381,53033009100,53033000100,639
382,53033009100,53033000200,314
383,53033009100,53033000401,826
384,53033009100,53033000500,52
385,53033009200,53033000100,145
386,53033009200,53033000200,86
387,53033009200,53033000401,258
388,53033009200,53033000402,41
389,53033009200,53033000500,195
390,53033009300,53033000100,488
391,53033009300,53033000200,57
392,53033009300,53033000401,372
393,53033009300,53033000402,411
394,53033009400,53033000100,649
395,53033009400,53033000200,60
396,53033009400,53033000401,309
397,53033009500,53033000100,377
398,53033009500,53033000200,411
399,53033009500,53033000401,181
400,53033009500,53033000402,131
401,53033009500,53033000500,338
402,53033009600,53033000100,743
403,53033009600,53033000200,518
404,53033009600,53033000401,209
405,53033009600,53033000402,84
406,53033009600,53033000500,321
407,53033009701,53033000100,525
408,53033009701,53033000200,316
409,53033009701,53033000401,120
410,53033009701,53033000402,42
411,53033009702,53033000100,29
412,53033009702,53033000200,109
413,53033009702,53033000401,60
414,53033009800,53033000100,121
415,53033009800,53033000200,168
416,53033009800,53033000401,37
417,53033009800,53033000402,66
418,53033009800,53033000500,119
419,53033009900,53033000100,849
420,53033009900,53033000200,1221
421,53033009900,53033000401,761
422,53033009900,53033000402,279
423,53033009900,53033000500,465
424,53033010001,53033000100,517
425,53033010001,53033000200,475
426,53033010001,53033000401,122
427,53033010001,53033000402,95
428,53033010001,53033000500,348
429,53033010100,53033000100,573
430,53033010100,53033000200,327
431,53033010100,53033000401,300
432,53033010100,53033000402,277
433,53033010100,53033000500,469
434,53033010200,53033000100,161
435,53033010200,53033000200,48
436,53033010200,53033000401,176
437,53033010200,53033000402,32
438,53033010200,53033000500,88
439,53033010300,53033000200,305
440,53033010300,53033000401,33
441,53033010300,53033000402,201
442,53033010401,53033000100,44
443,53033010401,53033000200,78
444,53033010402,53033000100,211
445,53033010402,53033000200,213
446,53033010402,53033000401,34
447,53033010402,53033000402,60
448,53033010500,53033000200,154
449,53033010600,53033000100,160
450,53033010600,53033000200,105
451,53033010702,53033000100,128
452,53033010702,53033000500,54
453,53033010800,53033000100,442
454,53033010800,53033000200,250
455,53033010800,53033000401,387
456,53033010800,53033000402,239
457,53033010800,53033000500,132
458,53033010900,53033000100,129
459,53033010900,53033000200,113
460,53033010900,53033000401,165
461,53033010900,53033000402,103
462,53033010900,53033000500,124
463,53033011001,53033000100,86
464,53033011001,53033000401,49
465,53033011101,53033000100,478
466,53033011101,53033000200,642
467,53033011101,53033000401,739
468,53033011101,53033000402,430
469,53033011101,53033000500,88
470,53033011102,53033000402,142
471,53033011200,53033000100,194
472,53033011200,53033000200,47
473,53033011200,53033000401,96
474,53033011200,53033000402,106
475,53033011300,53033000200,109
476,53033011300,53033000401,62
477,53033011300,53033000500,56
478,53033011402,53033000200,45
479,53033011600,53033000100,136
480,53033011600,53033000200,198
481,53033011600,53033000401,333
482,53033011600,53033000402,244
483,53033011600,53033000500,179
484,53033011700,53033000100,643
485,53033011700,53033000200,337
486,53033011700,53033000401,638
487,53033011700,53033000402,233
488,53033011700,53033000500,69
489,53033011800,53033000100,473
490,53033011800,53033000401,261
491,53033011800,53033000402,53
492,53033011900,53033000100,52
493,53033011900,53033000401,75
494,53033011900,53033000402,35
