,destination,origin,flow
72,53033001701,53033000402,547
73,53033001701,53033000500,883
74,53033001702,53033000100,270
75,53033001702,53033000200,126
76,53033001702,53033000401,321
77,53033001702,53033000402,814
78,53033001702,53033000500,291
79,53033001900,53033000100,4060
80,53033001900,53033000200,7052
81,53033001900,53033000401,3848
82,53033001900,53033000402,1958
83,53033001900,53033000500,1567
84,53033002000,53033000100,723
85,53033002000,53033000200,1039
86,53033002000,53033000401,141
87,53033002000,53033000402,259
88,53033002000,53033000500,311
89,53033002100,53033000100,355
90,53033002100,53033000200,426
91,53033002100,53033000402,42
92,53033002200,53033000100,10391
93,53033002200,53033000200,6044
94,53033002200,53033000401,2569
95,53033002200,53033000402,1340
96,53033002200,53033000500,1480
97,53033002400,53033000100,397
98,53033002400,53033000200,487
99,53033002400,53033000401,39
100,53033002400,53033000402,67
101,53033002400,53033000500,153
102,53033002500,53033000100,3228
103,53033002500,53033000200,6517
104,53033002500,53033000401,755
105,53033002500,53033000402,784
106,53033002500,53033000500,308
107,53033002600,53033000100,911
108,53033002600,53033000200,1323
109,53033002600,53033000401,267
110,53033002600,53033000402,125
111,53033002600,53033000500,303
112,53033002700,53033000100,136
113,53033002700,53033000401,237
114,53033002800,53033000100,216
115,53033002800,53033000200,47
116,53033002800,53033000401,413
117,53033002800,53033000500,558
118,53033002900,53033000200,63
119,53033003000,53033000100,433
120,53033003000,53033000200,187
121,53033003000,53033000401,548
122,53033003000,53033000402,1748
123,53033003100,53033000100,2407
124,53033003100,53033000200,2031
125,53033003100,53033000401,2588
126,53033003100,53033000402,2492
127,53033003100,53033000500,2856
128,53033003200,53033000200,370
129,53033003200,53033000401,43
130,53033003200,53033000402,42
131,53033003200,53033000500,490
132,53033003300,53033000100,381
133,53033003300,53033000200,463
134,53033003300,53033000401,1095
135,53033003300,53033000402,1261
136,53033003300,53033000500,1069
137,53033003400,53033000100,60
138,53033003400,53033000200,60
139,53033003400,53033000401,162
140,53033003400,53033000402,82
141,53033003400,53033000500,47
142,53033003500,53033000100,53
143,53033003500,53033000200,334
144,53033003500,53033000401,419
145,53033003500,53033000402,166
146,53033003600,53033000100,363
147,53033003600,53033000200,112
148,53033003600,53033000401,43
149,53033003600,53033000500,56
150,53033003800,53033000100,317
151,53033003800,53033000200,101
152,53033003800,53033000401,55
153,53033003800,53033000402,63
154,53033003800,53033000500,37
155,53033003900,53033000100,554
156,53033003900,53033000200,368
157,53033003900,53033000401,207
158,53033003900,53033000402,42
159,53033004000,53033000100,11420
160,53033004000,53033000200,9201
161,53033004000,53033000401,2785
162,53033004000,53033000402,3890
163,53033004000,53033000500,4295
164,53033004200,53033000500,208
165,53033004301,53033000100,726
166,53033004301,53033000200,1287
167,53033004301,53033000401,596
168,53033004301,53033000402,440
169,53033004301,53033000500,193
170,53033004302,53033000100,1220
171,53033004302,53033000200,1831
172,53033004302,53033000401,472
173,53033004302,53033000402,209
174,53033004400,53033000100,1028
175,53033004400,53033000200,445
176,53033004400,53033000401,135
177,53033004400,53033000402,134
178,53033004400,53033000500,389
179,53033004500,53033000100,360
180,53033004500,53033000200,672
181,53033004500,53033000401,217
182,53033004500,53033000402,240
183,53033004600,53033000100,9023
184,53033004600,53033000200,10591
185,53033004600,53033000401,12117
186,53033004600,53033000402,9369
187,53033004600,53033000500,7579
188,53033004700,53033000100,78
189,53033004700,53033000200,228
190,53033004700,53033000401,485
191,53033004700,53033000402,543
192,53033004700,53033000500,878
193,53033004800,53033000100,400
194,53033004800,53033000200,431
195,53033004800,53033000401,486
196,53033004800,53033000402,407
197,53033004800,53033000500,254
198,53033004900,53033000100,566
199,53033004900,53033000200,652
200,53033004900,53033000401,456
201,53033004900,53033000402,509
202,53033004900,53033000500,410
203,53033005000,53033000100,35
204,53033005000,53033000200,451
205,53033005000,53033000401,291
206,53033005000,53033000402,240
207,53033005000,53033000500,688
208,53033005100,53033000100,121
209,53033005100,53033000200,40
210,53033005100,53033000401,33
211,53033005200,53033000100,1394
212,53033005200,53033000200,1253
213,53033005200,53033000401,728
214,53033005200,53033000402,357
215,53033005200,53033000500,52
216,53033005301,53033000100,516
217,53033005301,53033000200,479
218,53033005301,53033000401,138
219,53033005301,53033000402,141
220,53033005301,53033000500,221
221,53033005302,53033000100,1539
222,53033005302,53033000200,1636
223,53033005302,53033000401,377
224,53033005302,53033000402,216
225,53033005400,53033000100,224
226,53033005400,53033000200,229
227,53033005400,53033000401,234
228,53033005400,53033000402,81
229,53033005400,53033000500,158
230,53033005600,53033000100,939
231,53033005600,53033000200,276
232,53033005600,53033000401,215
233,53033005600,53033000402,622
234,53033005600,53033000500,709
235,53033005700,53033000100,760
236,53033005700,53033000200,1383
237,53033005700,53033000401,1422
238,53033005700,53033000402,1140
239,53033005700,53033000500,710
240,53033005801,53033000100,33
241,53033005801,53033000401,73
242,53033005801,53033000500,156
243,53033005802,53033000100,508
244,53033005802,53033000200,601
245,53033005802,53033000401,568
246,53033005802,53033000402,539
247,53033005802,53033000500,296
248,53033005900,53033000500,74
249,53033006000,53033000100,363
250,53033006000,53033000200,180
251,53033006000,53033000401,737
252,53033006000,53033000402,541
253,53033006000,53033000500,195
254,53033006100,53033000100,570
255,53033006100,53033000200,650
256,53033006100,53033000401,340
257,53033006100,53033000402,353
258,53033006100,53033000500,305
259,53033006200,53033000100,2329
260,53033006200,53033000200,2494
261,53033006200,53033000401,1355
262,53033006200,53033000402,958
263,53033006200,53033000500,1138
264,53033006300,53033000100,265
265,53033006300,53033000200,81
266,53033006300,53033000401,59
267,53033006300,53033000402,249
268,53033006300,53033000500,452
269,53033006400,53033000500,69
270,53033006500,53033000100,87
271,53033006500,53033000200,202
272,53033006500,53033000401,418
273,53033006500,53033000402,57
274,53033006500,53033000500,54
275,53033006600,53033000100,2173
276,53033006600,53033000200,2582
277,53033006600,53033000401,1354
278,53033006600,53033000402,687
279,53033006600,53033000500,499
280,53033006700,53033000100,503
281,53033006700,53033000200,582
282,53033006700,53033000401,978
283,53033006700,53033000402,333
284,53033006700,53033000500,211
285,53033006800,53033000100,169
286,53033006800,53033000401,331
287,53033006800,53033000500,87
288,53033006900,53033000100,1616
289,53033006900,53033000200,798
290,53033006900,53033000401,957
291,53033006900,53033000402,348
292,53033006900,53033000500,586
293,53033007000,53033000100,562
294,53033007000,53033000200,483
295,53033007000,53033000401,910
296,53033007000,53033000402,552
297,53033007000,53033000500,672
298,53033007100,53033000100,135
299,53033007100,53033000200,39
300,53033007100,53033000401,441
301,53033007100,53033000402,43
302,53033007100,53033000500,214
303,53033007200,53033000100,493
304,53033007200,53033000200,773
305,53033007200,53033000401,1392
306,53033007200,53033000402,763
307,53033007200,53033000500,211
308,53033007401,53033000100,222
309,53033007401,53033000200,431
310,53033007401,53033000401,92
311,53033007401,53033000402,655
312,53033007401,53033000500,366
313,53033007500,53033000100,527
314,53033007500,53033000200,266
315,53033007500,53033000401,489
316,53033007500,53033000500,170
317,53033007600,53033000100,184
318,53033007600,53033000200,330
319,53033007600,53033000401,47
320,53033007600,53033000402,529
321,53033007600,53033000500,46
322,53033007700,53033000100,241
323,53033007700,53033000200,247
324,53033007700,53033000401,176
325,53033007700,53033000402,63
326,53033007800,53033000100,277
327,53033007800,53033000200,133
328,53033007800,53033000401,70
329,53033007800,53033000402,351
330,53033007800,53033000500,261
331,53033007900,53033000100,1154
332,53033007900,53033000200,710
333,53033007900,53033000401,820
334,53033007900,53033000402,345
335,53033007900,53033000500,186
336,53033008001,53033000100,450
337,53033008001,53033000200,406
338,53033008001,53033000401,374
339,53033008001,53033000402,604
340,53033008001,53033000500,432
341,53033008100,53033000100,1250
342,53033008100,53033000200,1255
343,53033008100,53033000401,1583
344,53033008100,53033000402,732
345,53033008100,53033000500,354
346,53033008200,53033000100,1390
347,53033008200,53033000200,1596
348,53033008200,53033000401,1335
349,53033008200,53033000402,939
350,53033008200,53033000500,232
351,53033008300,53033000100,320
352,53033008300,53033000200,355
353,53033008300,53033000401,173
354,53033008300,53033000402,62
355,53033008300,53033000500,46
356,53033008400,53033000100,166
357,53033008400,53033000200,402
358,53033008400,53033000401,59
359,53033008400,53033000402,113
360,53033008400,53033000500,97
361,53033008600,53033000100,660
362,53033008600,53033000200,514
363,53033008600,53033000401,377
364,53033008600,53033000402,307
365,53033008600,53033000500,338
366,53033008700,53033000100,105
367,53033008700,53033000401,220
368,53033008700,53033000402,110
369,53033008800,53033000100,524
370,53033008800,53033000200,61
371,53033008800,53033000401,402
372,53033008800,53033000402,169
373,53033008900,53033000100,89
374,53033008900,53033000200,40
375,53033008900,53033000402,64
376,53033009000,53033000100,1127
377,53033009000,53033000200,383
378,53033009000,53033000401,508
379,53033009000,53033000402,56
380,53033009000,53033000500,320
381,53033009100,53033000100,600
382,53033009100,53033000200,337
383,53033009100,53033000401,784
384,53033009100,53033000500,56
385,53033009200,53033000100,157
386,53033009200,53033000200,102
387,53033009200,53033000401,246
388,53033009200,53033000402,45
389,53033009200,53033000500,180
390,53033009300,53033000100,528
391,53033009300,53033000200,47
392,53033009300,53033000401,395
393,53033009300,53033000402,348
394,53033009400,53033000100,626
395,53033009400,53033000200,59
396,53033009400,53033000401,339
397,53033009500,53033000100,412
398,53033009500,53033000200,366
399,53033009500,53033000401,187
400,53033009500,53033000402,119
401,53033009500,53033000500,319
402,53033009600,53033000100,707
403,53033009600,53033000200,574
404,53033009600,53033000401,187
405,53033009600,53033000402,91
406,53033009600,53033000500,342
407,53033009701,53033000100,432
408,53033009701,53033000200,319
409,53033009701,53033000401,124
410,53033009701,53033000402,42
411,53033009702,53033000100,33
412,53033009702,53033000200,115
413,53033009702,53033000401,59
414,53033009800,53033000100,149
415,53033009800,53033000200,154
416,53033009800,53033000401,40
417,53033009800,53033000402,63
418,53033009800,53033000500,114
419,53033009900,53033000100,952
420,53033009900,53033000200,1133
421,53033009900,53033000401,879
422,53033009900,53033000402,347
423,53033009900,53033000500,411
424,53033010001,53033000100,565
425,53033010001,53033000200,487
426,53033010001,53033000401,126
427,53033010001,53033000402,105
428,53033010001,53033000500,314
429,53033010100,53033000100,546
430,53033010100,53033000200,316
431,53033010100,53033000401,308
432,53033010100,53033000402,271
433,53033010100,53033000500,488
434,53033010200,53033000100,154
435,53033010200,53033000200,39
436,53033010200,53033000401,181
437,53033010200,53033000402,32
438,53033010200,53033000500,98
439,53033010300,53033000200,407
440,53033010300,53033000401,39
441,53033010300,53033000402,198
442,53033010401,53033000100,50
443,53033010401,53033000200,78
444,53033010402,53033000100,193
445,53033010402,53033000200,201
446,53033010402,53033000401,40
447,53033010402,53033000402,60
448,53033010500,53033000200,191
449,53033010600,53033000100,187
450,53033010600,53033000200,104
451,53033010702,53033000100,135
452,53033010702,53033000500,54
453,53033010800,53033000100,352
454,53033010800,53033000200,258
455,53033010800,53033000401,397
456,53033010800,53033000402,187
457,53033010800,53033000500,130
458,53033010900,53033000100,134
459,53033010900,53033000200,116
460,53033010900,53033000401,140
461,53033010900,53033000402,106
462,53033010900,53033000500,103
463,53033011001,53033000100,95
464,53033011001,53033000401,47
465,53033011101,53033000100,430
466,53033011101,53033000200,573
467,53033011101,53033000401,661
468,53033011101,53033000402,366
469,53033011101,53033000500,87
470,53033011102,53033000402,158
471,53033011200,53033000100,179
472,53033011200,53033000200,43
473,53033011200,53033000401,103
474,53033011200,53033000402,93
475,53033011300,53033000200,117
476,53033011300,53033000401,62
477,53033011300,53033000500,54
478,53033011402,53033000200,40
479,53033011600,53033000100,170
480,53033011600,53033000200,196
481,53033011600,53033000401,375
482,53033011600,53033000402,236
483,53033011600,53033000500,184
484,53033011700,53033000100,674
485,53033011700,53033000200,365
486,53033011700,53033000401,636
487,53033011700,53033000402,207
488,53033011700,53033000500,69
489,53033011800,53033000100,462
490,53033011800,53033000401,266
491,53033011800,53033000402,67
492,53033011900,53033000100,62
493,53033011900,53033000401,77
494,53033011900,53033000402,39
