geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,forest_landuse,road_residential,road_primary,road_other,transport_point,food_point,health_point,education_point,retail_point,total_population
53011040908,3.926338291160085,0.0,0.0,0.0,0.0,38.07151592493066,0.0,8.930449323388748,0,1,0,3,1,6893
53011041003,2.178525867175839,0.0,0.0,0.0,0.0,24.943031901137463,0.0,5.051323123443369,0,0,0,2,0,4160
53011041005,0.6205331540246702,0.0,3.7243350519208094,0.0,0.1856150089467514,11.282041656871632,0.0,34.52878083551041,1,0,0,1,1,2159
53011041008,2.338917049132661,0.0,0.0,0.0,0.0,23.79319566971533,0.0,7.3723431961092,0,0,0,3,0,4655
53011041400,3.00724029432743,0.0,2.6065330164286435,0.0373786978579843,0.0,36.48207173872864,0.0,14.225495332375631,0,3,0,3,4,5668
53011041500,0.9934829808924696,0.1552413602605484,0.2420321543223269,0.3221218599232246,0.0,18.0420026914717,0.0,12.289057785484074,0,30,2,1,67,3117
53011042100,0.9107990372937166,0.0075309330247445,0.0,0.0122583652350711,0.0,15.7201278811696,0.0,3.4928728610720894,0,1,0,0,1,3119
53011042300,0.6530937260463183,0.0134975995482687,0.0,0.02064867092464,0.0,13.655783931011168,0.0,8.536773607794998,0,12,0,1,15,3203
53011042400,0.0692922887310843,0.2948009289431819,0.0770044294256663,0.034234434086727,0.0,5.828424836460977,0.0,10.40867345466512,3,37,1,0,33,2106
53039950200,0.7384067861151761,0.0,0.5889019006176344,0.0,0.0,51.49694112744767,49.67134256646811,532.1739099498275,1,6,0,6,13,4073
53039950301,1.3354054338470251,0.3070110569418615,0.0,0.0,0.0,39.27225613248928,4.706304380974102,11.45420968927865,0,7,1,2,11,3297
53039950302,0.3266743492351674,0.1033004131896107,0.0,0.0,0.0,101.32488952727856,10.68658119916017,319.1894675622562,1,7,1,5,16,5597
53007960201,1.2667235929887382,0.2055481752281409,0.178550478985636,0.1046876784465055,0.1637578222763058,43.25201842204823,0.0,65.9905673616117,0,58,1,7,118,4438
53007960203,1.3945704513304036,0.0,0.2426003425875563,0.0,0.0,77.30875139498376,0.0,357.4873307367342,0,6,0,1,9,916
53007960301,0.2702086568428407,0.0,0.004331833315861,0.0,0.0,99.134653112598,11.380543759638002,93.1992574497127,0,2,0,3,3,1834
53007960700,0.4768324810810302,0.1749547687794868,0.3328991987244047,0.1371275853373741,2.2853469761783662,58.14359411253076,20.508210330068003,45.153603053147975,0,3,1,2,28,3922
53013960200,0.0,0.0,0.2146353998322819,0.0,0.0,262.87043781935404,0.0,670.8185440264548,44,6,3,4,19,4024
53017950101,0.7673036445514895,0.0,0.1199894286907655,0.0,0.0236042454631361,357.64289846675626,11.390921018695186,65.48945357196612,34,0,0,3,2,3107
53017950102,0.094875720430375,0.0,0.0,0.0,0.0,616.4135669571534,0.5354581767489649,391.2912690798888,24,2,1,9,6,3511
53017950300,1.317677462070283,0.0,2.225047040548398,0.0,0.0,136.14585324551172,3.782916204676344,76.64927767267015,19,1,0,1,5,7463
53003960200,5.87544564859665,0.0147675904707665,0.1185304935282284,0.0469083412576077,0.0,46.82150183671197,1.2390938250632615,100.66256624183885,6,0,0,0,3,4755
53015000502,1.216670190459174,0.0,0.0,0.0,0.0,13.798177144155364,0.4797096651729602,5.466554027866318,0,0,0,0,0,4851
53015001200,0.0552953961843632,0.0,0.0,0.1268888329363075,0.0,36.662241631490886,0.0618777297485207,22.0573296432846,0,4,1,8,9,4432
53015001300,0.7699929231238664,0.0,0.0,0.0,0.0,23.502775299953363,0.0,17.768742262810463,0,1,0,10,2,4067
53015001501,0.6601144913930901,0.0,0.1807949150431499,0.0,0.0,61.98061746636514,0.0,156.40437118810337,0,2,0,1,3,3038
53015001503,1.305818113928089,0.2071648699856039,0.0306275433486871,0.1753065089067828,0.0,60.50244891444206,3.96815052635715,35.02718637235992,0,14,3,1,48,6157
53015001504,1.1969426171480717,0.2590824172688892,1.577039924765763,0.2674599773803769,0.0,25.61817221554709,0.0676830387043647,42.23521027178942,0,10,5,4,66,3169
53015001601,1.6017655166360203,0.0127325299654783,2.1996402070698395,0.0847077509896522,0.0,58.2949864598057,0.0,38.153403667879616,0,15,1,2,23,3903
53015001602,0.0,0.0143705819981813,0.1513875582371379,0.0,0.0,75.72460309117116,0.0,33.096099744215394,0,0,0,1,1,2411
53015001700,0.0,0.0,0.0,0.0,0.0,155.55975501508632,0.0,129.18347179544412,0,1,0,1,2,5416
53015002003,1.0551081600796302,0.05533224414957,0.0,0.1122409135383474,0.0002609873755034,73.00723192888645,11.012760625218087,35.99205419576021,0,13,1,2,26,4790
53015002004,0.0,0.0,0.0,0.0361784278180947,0.0,68.29496052072888,6.767210622262284,51.472303082637495,0,0,0,0,3,1620
53015980000,0.0691845012966459,0.1275197871564508,9.343621003019768,0.1871360642947341,0.0,5.353312460885502,9.558547094531477,24.19861669047124,0,9,2,1,34,458
53001950100,0.8968537620083753,0.1065110660019399,0.2208381599303686,0.3539945290305741,0.0,650.4786049083962,2.3328453625097403,429.4507344788086,14,7,2,4,37,2606
53001950302,0.0287478560514375,0.0,0.647366230553295,0.0,0.0,29.76515305115488,10.849059757037724,46.38786020713597,10,0,0,0,0,2434
53001950400,0.7917769791662967,0.2900522598881413,0.5659810553551136,0.0,0.0,22.79047349726184,0.0,9.692415139015084,8,1,1,1,4,3144
53001950500,1.437751945059364,0.2454632293979418,0.8212032407735248,0.1171437136202846,0.0,35.55246679867685,9.819826855475824,10.48867794985496,17,4,0,6,13,5660
53029970100,0.4083156784420275,0.0,0.003120686922567,0.0,0.0,42.16345917389641,6.242192245139306,18.33575364967685,0,0,0,0,5,2492
53029970200,0.1669666646328668,0.0,0.0,0.0,0.0,24.80995552529189,2.149302716581106,14.55289168410732,0,1,0,1,4,2452
53029970300,0.0,0.0,0.0416211994680763,0.0,0.0,94.02433699609084,3.824569333221114,49.642603548303406,0,0,0,0,1,4388
53029970401,0.0,0.0,0.0,0.0,0.0,22.969904274829283,0.0,13.99995353387807,0,0,0,1,1,3161
53029970402,0.0475862942123855,0.0,0.0721483553148475,0.0,0.0,14.656926969173616,2.599547624582032,14.161919980125637,0,3,0,0,10,3130
53029970500,0.7268069842966471,0.0,0.0,0.0,0.0,42.7655132046977,3.2228086511897964,41.1664435194318,0,0,0,0,1,6649
53029970601,0.0556142166850156,0.0,0.0,0.0,0.0,13.146773033837697,0.1658020992830622,4.115760226134066,0,1,0,2,0,3645
53029970602,0.036068680188628,0.0,0.0,0.1997805340232981,0.0,14.601727939789429,1.3482961160017657,6.9643928378416895,0,6,1,3,12,3188
53029970700,0.0209323836751809,0.0,0.0,0.0791534789724064,0.0,11.018494522335851,2.652664589998133,5.369835867272208,0,21,2,4,57,2125
53029970800,0.0,0.0,0.0,0.0,0.0,13.509561331910447,0.1840391488208436,6.820782021960676,0,2,1,0,11,2804
53029970900,1.489045684263234,0.0,0.0,0.0,0.0,34.44578107396993,0.0,7.840071195215328,0,1,0,1,8,5112
53029971000,0.0051448316123021,0.0,0.0551142050051141,0.0111890723001317,0.0,54.70000281382794,11.050005147886266,61.66481408994151,0,11,1,0,30,5376
53029971100,0.8958622396315891,0.3005711911994929,0.0126651564386036,0.0,0.0,33.759155027478485,16.982880514841288,78.16867612489926,1,4,0,2,8,3354
53029971301,0.2078950184547506,0.01619404761106,0.0322119551987085,0.0715532605653828,0.0,23.22591601963203,10.251782547372253,46.32960859946738,0,5,0,0,11,2306
53029971302,0.0,0.0,0.0,0.0,0.0,36.336118397660194,6.95653796095443,47.58356010710426,0,1,0,0,2,2386
53029971400,0.0,0.0,0.0,0.0,0.0,82.90395711043209,0.0,32.62044291652508,0,0,1,0,1,4737
53029971500,0.6088278597591054,0.0,0.0347227734120329,0.0122757381792119,0.0,73.83968697022027,4.598456534023049,21.72017432449893,0,6,0,2,14,3662
53029971600,0.000327895889214,0.0,0.0,0.0,0.0,56.79204888758405,0.0,27.9804493776254,0,1,0,0,1,4272
53029971800,0.0,0.0422938488007976,0.0,0.0727594472299725,0.0,29.346903465361425,5.495672237566646,44.58149464254801,1,8,0,0,18,2561
53029971900,0.3334240302266855,0.0064638794440943,0.0189423195322193,0.0419165516493976,0.6128748205324617,29.334498874985727,2.680063566302103,112.33833370542196,1,7,1,0,18,4106
53029972100,0.0,0.0,0.0,0.0059589563995095,0.0,16.547163214143453,1.5289946534057668,93.15774893410646,3,5,0,0,9,3536
53029992201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
53073000101,0.0520465146381965,0.0,0.0947592974256095,0.0089965918827101,0.0,45.68780387200217,6.192717549788158,41.52797789704268,0,1,0,1,5,3296
53073000102,1.7184013341736213,0.1951086846738495,1.5088591596649243,0.4484763212124015,0.0030601217985691,41.31120743247921,0.3565669604197625,14.819430859094004,0,26,4,0,87,6926
53073000201,1.013471315662328,0.1588935021371933,0.9650734112054528,0.0321279296123019,2.2856536517650508,33.53809601248449,0.0283368328252558,24.83255500899164,0,2,1,3,12,4469
53073000202,0.9215845035114713,0.1503537807958143,0.2370433564516893,0.0195457088605527,0.0,25.830148266355355,0.0,9.633789693420123,0,0,0,3,3,3002
53073000203,0.6782472874241781,0.3196456930702497,0.1647590191036068,0.3346160588039702,0.0,18.006826779003077,0.7040541230041326,15.059363897846978,0,20,6,2,66,2424
53073000301,2.5722322255714576,0.0216049521092141,0.2686323261769948,0.0125434408679698,0.0,14.732033153086858,0.1168056991851151,9.948116684027443,0,3,1,5,4,4785
53073000302,0.4657836803274295,0.0862511602156028,0.0247986235549341,0.4622647366718861,0.0,4.693363632055688,2.418066283854506,6.919547702549105,0,18,1,0,99,3039
53073000401,1.2144287569541707,0.0172451104072097,0.0434069170259015,0.0687497076400863,0.0,17.135318236937437,0.0,8.457024522499674,0,14,2,2,17,3315
53073000402,1.1914302534109713,0.0057811534310397,0.1949062996957737,0.0367364629597428,0.0,20.97611058827172,0.0,5.735664451020655,0,17,0,1,16,3103
53073000501,1.4189573421936472,0.1336257646802665,0.0148227377926379,0.121954426095997,0.0,26.590453449993635,0.1284685678806485,11.13360911366438,0,18,1,3,82,6118
53073000502,0.7346471791595671,0.0,0.2467617330004825,0.0013305493369917,0.0,14.026762322009647,0.0,8.62540284592506,0,7,0,3,5,2986
53073000600,0.0541309161756225,0.1641258495759442,0.2925516409122429,0.1866041238283945,0.0,0.5540214306944855,0.0,11.376812614810724,0,85,1,1,125,2294
53073000700,2.0694891764676404,0.2217459525729693,0.4414437189050249,0.1977386127344482,0.0,26.645340451387305,0.4953483493261943,6.877494618913303,0,15,1,1,40,7460
53073000803,2.66713107438958,0.2185923530730934,0.0,0.0488887525594894,0.0,30.764897366392425,2.2403424904945903,7.717178768905094,0,6,4,3,14,6976
53073000804,2.9771107610022094,0.0,0.0811973297842332,0.0,0.0,45.523675166035886,1.3649766462252997,12.072010140716872,0,2,0,3,2,7214
53073000805,3.9095037500324814,0.0,0.0119997157873924,0.0059813614873302,0.0,40.70719254103904,0.0,13.904218186118278,0,0,0,2,2,5213
53073000807,1.681121091818684,0.0,0.0047429803595101,0.0,1.9705121879453875,37.1410584198597,0.0,25.714530868808296,0,0,0,0,0,3226
53073000808,1.7102979925372013,0.0,0.0,0.0,0.0,25.210121175349208,0.0,3.821864227267577,0,1,0,0,1,3560
53073000809,1.7630872152453063,0.0,0.0,0.0,0.0,24.477844604834523,0.0,2.525984033356289,0,1,0,0,1,2794
53073000902,3.3484476992452503,0.0,0.0,0.0,0.0,43.9398827730468,0.0,13.070486522199122,0,1,1,1,3,6940
53073000903,1.131965088627268,0.0738635922156818,0.1470837363844611,0.1082404318555801,0.0,12.950375798154903,0.0,7.736675320494087,0,9,3,1,32,4534
53073000904,1.5921127050070052,0.0,0.0,0.0,0.0,18.60603053978057,0.0,2.45134344850678,0,0,0,1,0,2808
53073001000,0.763963997018778,0.0126917494087642,0.0,0.0577349611353442,0.0,11.990976341316196,0.0,12.02278258807668,0,22,1,1,18,7884
53073001101,2.8824767407089094,0.0620261259193668,0.0982543478083488,0.0436467693618093,0.0,32.035975132649114,0.0,5.636608635889693,5,19,0,3,21,3927
53073001102,1.1006340591598278,0.0,0.0157327846437944,0.0,0.0,14.075677906114942,0.0,5.802175492514036,0,3,0,1,0,3072
53073001202,0.5142553199216482,0.0061559726688094,0.0,0.0054305091853415,29.862409262800927,36.5108295735448,0.0,36.49152255340367,0,1,0,0,1,3787
53073001203,0.7118691564524958,0.0350667952341214,0.0,0.0,0.0,11.627410576255157,0.0,3.609571483699416,0,7,0,3,4,3046
53073001204,0.5298797243672102,0.0314663593397763,0.0,0.0597680462416281,0.0,5.566981413882718,0.0,5.018025000456582,0,11,2,4,19,4656
53073010103,1.0553091586169396,0.0,0.0095176077713653,0.0,0.4043908799540927,37.42348963433609,66.38836280003532,325.14953599899053,0,7,0,2,9,2590
53073010301,1.789510759800481,0.1441624215232151,0.3632698938707933,0.1123889872472053,0.0,101.58009297860396,4.658675230955821,46.24604611419248,0,15,3,3,49,6797
53073010302,2.2008336620058,0.1326791128594591,0.089067873688734,0.0,0.0,27.772624641298208,0.0,10.46961747002412,0,13,1,1,30,4364
53073010407,0.0,0.0074958786308301,0.0746162480678958,0.0,0.0,72.2049033609503,0.0,27.607197633199632,0,2,0,1,8,2780
53073010408,0.2127057488395579,0.0,0.0,0.0040621508918199,0.0,46.88541868569459,0.0,30.54213729264242,0,0,0,0,1,3054
53073010503,2.855985955922923,0.0111039954198138,0.0105666614161051,0.0,0.0,51.804990903355154,0.0,20.67390323648637,0,0,0,5,0,5922
53073010505,1.3842201446328666,0.0691460405986272,0.0493414048177821,0.0,0.0,36.78016322060064,0.0,10.968777492052787,0,1,1,0,0,5806
53073010506,0.8083215526076585,0.0,0.0,0.0020914013066339,0.0,15.96416967328735,0.0,7.7970984094421505,0,5,0,3,5,3360
53073010600,3.100646722243777,0.0735325542696105,0.0297799747539762,0.2111205255881892,0.0,78.17451581851044,0.0,26.43145733902877,0,3,1,1,20,7143
53073010702,1.0057238501820829,0.0,0.1608713045163402,0.0,0.0,57.105407820088175,9.546622586601464,22.33840934108301,0,1,0,2,4,4872
53073940001,1.0789155142459688,0.1038975746107023,0.0,0.0065265075614601,0.6674431882087927,12.987141012671277,0.0,28.999431844346503,0,0,1,2,0,1770
53073940002,0.0421453304785553,0.0,0.0,0.0,5.499939486050756,32.590995052690374,0.0,23.34117042133236,1,0,0,2,0,3731
53067010100,0.0062634050106363,0.0,0.4956743125949168,0.0,0.0337860719236549,23.061220472967776,5.039848787213425,12.892388263343427,0,68,0,2,51,3163
53067010200,0.0,0.0,0.0,0.0,0.073468769950738,36.9236374380841,0.0,8.643226298491635,0,0,0,2,3,4900
53067010300,0.0122879485472544,0.0120254263448,0.0214552357513572,0.0,0.0669000151947784,32.75440056040511,7.091949652600718,7.951939938325206,1,13,1,3,29,5015
53067010510,0.0590312874253725,0.0,0.0,0.1994202121617443,0.2370409981676338,12.06541267524124,1.250564826473514,9.760946330619442,0,25,2,0,150,3139
53067010520,0.0,0.0,0.0,0.0,0.7959331055348896,22.90105150704517,1.9078931404291275,9.756130551596346,0,8,2,1,41,6279
53067010600,0.1447492966663738,0.0,0.0,0.0,0.9145613351790096,27.475922668587724,0.5782674668313199,11.3960483596199,0,9,1,4,12,6359
53067011100,0.0,0.0,0.0010407623912751,0.0,2.557522613773944,29.950099944949127,0.0,11.344162467945264,0,5,2,3,3,4526
53067011200,1.7016517005054843,0.7537647427930437,0.264729994968363,0.6303995704856579,0.0,21.09619273666062,6.72845943812314,14.81068455823479,0,35,9,2,66,5317
53067011500,2.5061784965214224,0.3386867199966248,0.0190887014976248,0.3883749688245173,0.0,30.46998730374497,3.03028180605698,2.55696580379585,0,27,2,5,68,6649
53067011902,1.644498518400089,0.0,0.0,0.0,0.0,82.23119754777629,0.0,38.01275995074889,0,3,0,2,4,5571
53067012001,0.0396795977078611,0.0,0.0,0.0,7.289764248386279,35.51511579997919,0.0,25.846494043008843,0,1,0,2,3,5757
53067012002,0.4262635302748873,0.0,0.0,0.0,3.268070649923264,37.52452419869689,0.0,5.411596877492496,0,0,0,0,1,2437
53067012100,0.0,0.0,0.0,0.0,0.0,49.49172110772638,0.0,23.725613445814894,0,0,0,2,4,4670
53067012211,0.0214735556193926,0.0616352533385282,0.0,0.0,0.0,21.36027703739227,0.0,23.18921539164233,0,1,0,1,2,2794
53067012221,0.9276886842303348,0.0907648416605476,0.2044249348264585,0.105210141745773,0.0,79.08235648741963,0.0415433187469629,37.64577838553019,0,2,0,0,4,7408
53067012223,0.7766465351179542,0.2548487461476145,0.0,0.0018345538453426,0.4477340101986524,15.532446104744633,0.4019404501334373,6.393088060768233,0,0,2,0,2,4014
53067012224,1.3520220867990649,0.1939927683588956,0.0,0.1077312374141361,0.0,22.60032723479093,1.769406860385799,7.541786343003777,1,13,0,6,14,3167
53067012225,4.003343348088341,0.0,0.0,0.0,0.0,45.297454184150304,0.0,11.952122986168856,0,0,0,0,0,5422
53067012226,2.088886756487367,0.0186881035687221,3.9523155092552336,0.0,0.0,32.47641362436275,0.045605058761029,33.197707759595595,0,4,1,1,7,4976
53067012330,1.85043970992294,0.2004197936939005,0.1116070129828874,0.2014554667689362,0.0,22.954704865363063,3.825502426044791,0.3207716033206603,0,10,2,1,23,5311
53067012332,2.6639501909565,0.0,0.0,0.0,0.0,31.10035521955855,0.4812623624161083,2.89924346368268,0,0,0,1,1,4981
53067012412,1.0601009489124102,0.2558411770496743,0.0787753341013368,0.126099222017814,0.0,45.13541968528963,0.0,32.28575531113566,0,23,3,5,39,5917
53067012421,0.6690206662889998,0.0386588767868875,0.0187098952654245,0.0,0.0,19.47735713838998,1.165931794017388,8.462221000227533,0,3,1,1,6,2586
53067012422,1.491111514885964,0.0639186602748273,0.1353067495484511,0.0,0.0,39.29552912840323,3.290267601835971,12.87208198693452,0,5,0,1,9,7170
53067012531,0.0,0.0,0.0360143885235436,0.0,0.0,81.38454160363898,0.0,228.6249657909312,0,0,0,0,1,3709
53067012532,0.0,0.0,0.0,0.0,0.0,68.84654301017484,0.0,28.43535088015304,0,0,0,0,3,3012
53067012710,0.0,0.0,0.0587407411970259,0.0,0.0,39.07909221233881,0.1559167695105937,13.967196208825918,0,0,0,0,4,2278
53067012720,13.8385715797938,0.8319963224536375,0.830362461996785,0.0,24.272885197000328,103.16095577775457,12.801319289850266,47.637860463704016,0,7,3,7,39,7139
53067990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
53071920000,0.0,0.0,1.031718962264953,0.0,0.0,258.7143131450089,66.6919362135993,382.7202069633735,0,0,0,6,0,5852
53071920100,0.0202313139324257,0.0525994472653207,0.0353609810012619,0.0230687248513345,0.0,144.35155043198762,17.681938417405423,613.8964540563602,0,5,1,7,10,5073
53071920200,0.3604687350570318,0.0304773120623086,1.5178781855180945,0.0732628401239707,0.0,65.13909816975618,2.1658025233873857,46.76524072302151,0,0,0,6,7,4633
53071920301,1.5554768182438536,0.0020323321773738,0.0,0.0,0.0,21.45384827465679,0.1258946110687223,6.891866537218775,0,0,0,0,4,3306
53071920302,1.1767465386016545,0.0570119790945757,0.0,0.0,0.0,21.677376107843045,0.0,8.148477338725009,0,4,0,2,17,5049
53071920400,0.0,0.0,0.0,0.0,0.0,0.0740902028163129,0.0,1.678015764865407,0,0,0,0,0,2642
53065941000,0.0,0.0,0.1321900123713299,0.0,28.0750863116346,415.5056193689179,0.0,247.99412858732293,8,0,0,4,2,2203
53065950101,0.1747187840975741,0.0056947510152173,0.0531315958839733,0.0401057064100972,0.1750652292322074,229.8716970374067,53.68160897765404,210.4443269843754,18,11,1,17,18,4596
53065950102,0.0,0.0,0.7477047829945269,0.0,19.94371387287906,423.90816233590624,25.24712697389732,207.795637148352,10,0,0,1,1,2973
53065950200,0.1359143997568328,0.1284646255697047,0.8462487959528741,0.0184810139189189,32.75423082194502,132.45140966449767,14.728808814500058,187.05321287914387,7,0,0,2,13,4353
53065950500,0.6381441566387394,0.1542721023947443,0.0203229491082216,0.1919272187174222,0.0,21.78286728912545,4.1425850942930085,8.084286445128592,22,4,4,6,27,2510
53065950900,0.0,0.0,0.0,0.0,115.81557764822946,211.15817304487064,0.0,209.1971602086741,5,0,0,17,1,1513
53065951100,0.4080327752611714,0.032563831348231,0.0238631230695978,0.034316377868411,298.64954911239244,233.5111176323873,18.06397369750169,133.57968064165766,5,7,0,4,17,3598
53059950300,0.0806307701641902,0.049826856106045,0.0235861611524616,0.0411049211898213,12.013925232418392,34.29156635256183,6.265376361813892,28.357439962093977,11,15,1,2,15,1898
53059950500,0.1192881013425776,0.0069078064443822,0.2576169585500613,0.0120768693775427,10.827537868240134,46.13537866463031,1.9833360145297632,60.69285771226214,11,6,0,2,11,2871
53061041202,1.604791777924426,0.1660551736714764,0.0,0.1495023901273275,0.0,15.489192713597363,0.0,8.456057001597834,0,9,2,3,30,6294
53061041301,0.0120431692066946,0.0004499139780932,0.0,0.0369524826403181,0.0,28.42909269532413,4.605498220496123,5.621658467610998,2,17,1,2,7,6155
53061041303,0.9454119106724104,0.0,0.0437578684649784,0.0145384322213705,0.0,16.536559693553084,0.0,9.295772696297892,0,5,0,0,2,4518
53061041703,0.0219269656548929,0.0,0.0,0.0172657689879966,0.0,23.187351495744327,0.0,9.09056896970958,0,8,0,1,8,6142
53061041704,0.0326040330284095,0.1754179067555215,0.0,0.1053068859963787,0.0,16.937063368862596,4.152035973064819,7.411460616264015,0,27,5,1,25,5714
53061041805,1.462599146435016,0.376167053173479,0.0099856529892899,0.5066969778642526,0.0,20.57182533874353,3.233196598284054,6.133936106815392,0,30,2,3,111,6261
53061041808,1.0330976379653196,0.0571197165717587,0.0339593323203353,0.0,0.0,13.457807402530513,0.0,5.059906032723267,0,2,0,3,1,4364
